10298001,2013.797024,,31.667,,64.168,,,79,,,78.4366,,,22.2434,,,,5.2338,,,36.6434,,,,193.62,0.496,,,,0.258,,0,,
10298001,2013.797024,,31.667,,64.168,,,81,,,80.4221,,,22.1891,,,,5.2291,,,36.6514,,,,192.66,0.491,,,,0.247,,0,,
10298001,2013.797024,,31.667,,64.168,,,83,,,82.4072,,,22.1708,,,,5.2275,,,36.6535,,,,192.49,0.488,,,,0.231,,0,,
10298001,2013.797024,,31.667,,64.168,,,85,,,84.3925,,,22.0719,,,,5.2167,,,36.6511,,,,192.98,0.486,,,,0.227,,0,,
10298001,2013.797024,,31.667,,64.168,,,87,,,86.3784,,,21.9044,,,,5.1991,,,36.6529,,,,192.22,0.482,,,,0.22,,0,,
10298001,2013.797024,,31.667,,64.168,,,89,,,88.3632,,,21.8274,,,,5.1912,,,36.6543,,,,192.94,0.478,,,,0.201,,0,,
10298001,2013.797024,,31.667,,64.168,,,91,,,90.3485,,,21.7015,,,,5.1774,,,36.6514,,,,195.96,0.475,,,,0.19,,0,,
10298001,2013.797024,,31.667,,64.168,,,93,,,92.3339,,,21.636,,,,5.1708,,,36.6534,,,,193.96,0.47,,,,0.174,,0,,
10298001,2013.797024,,31.667,,64.168,,,95,,,94.3183,,,21.473,,,,5.154,,,36.6579,,,,192.7,0.467,,,,0.172,,0,,
10298001,2013.797024,,31.667,,64.168,,,97,,,96.3036,,,21.4066,,,,5.1472,,,36.6589,,,,192.87,0.464,,,,0.157,,0,,
10298001,2013.797024,,31.667,,64.168,,,99,,,98.2891,,,21.3053,,,,5.1366,,,36.6596,,,,193.24,0.461,,,,0.143,,0,,
10298001,2013.797024,,31.667,,64.168,,101,,100.2746,,,21.1879,,,,5.124,,,36.6586,,,,193.79,0.459,,,,0.131,,0,,,,
10298001,2013.797024,,31.667,,64.168,,103,,102.2601,,,21.0599,,,,5.1102,,,36.6564,,,,195.38,0.457,,,,0.119,,0,,,,
10298001,2013.797024,,31.667,,64.168,,105,,104.2445,,,20.9835,,,,5.1019,,,36.6541,,,,193.63,0.454,,,,0.107,,0,,,,
10298001,2013.797024,,31.667,,64.168,,107,,106.2299,,,20.9492,,,,5.0982,,,36.6532,,,,190.91,0.453,,,,0.105,,0,,,,
10298001,2013.797024,,31.667,,64.168,,109,,108.2151,,,20.8248,,,,5.0847,,,36.6502,,,,189.85,0.453,,,,0.098,,0,,,,
10298001,2013.797024,,31.667,,64.168,,111,,110.2,,,20.6947,,,,5.0708,,,36.6486,,,,190.23,0.451,,,,0.097,,0,,,,
10298001,2013.797024,,31.667,,64.168,,113,,112.1855,,,20.5353,,,,5.053,,,36.6408,,,,191.71,0.449,,,,0.095,,0,,,,
10298001,2013.797024,,31.667,,64.168,,115,,114.1701,,,20.4485,,,,5.044,,,36.6419,,,,191.57,0.447,,,,0.082,,0,,,,
10298001,2013.797024,,31.667,,64.168,,117,,116.1549,,,20.3819,,,,5.037,,,36.6412,,,,191.47,0.446,,,,0.076,,0,,,,
10298001,2013.797024,,31.667,,64.168,,119,,118.1404,,,20.2797,,,,5.0259,,,36.6382,,,,192.4,0.444,,,,0.073,,0,,,,
10298001,2013.797024,,31.667,,64.168,,121,,120.1249,,,20.1906,,,,5.0161,,,36.635,,,,192.45,0.443,,,,0.065,,0,,,,
10298001,2013.797024,,31.667,,64.168,,123,,122.1099,,,20.1216,,,,5.0087,,,36.633,,,,193.05,0.443,,,,0.055,,0,,,,
10298001,2013.797024,,31.667,,64.168,,125,,124.0947,,,20.0725,,,,5.0035,,,36.6318,,,,193.12,0.442,,,,0.055,,0,,,,
10298001,2013.797024,,31.667,,64.168,,127,,126.08,,,20.0204,,,,4.9979,,,36.6304,,,,193.21,0.441,,,,0.057,,0,,,,
10298001,2013.797024,,31.667,,64.168,,129,,128.0644,,,19.9661,,,,4.9919,,,36.628,,,,194.6,0.441,,,,0.051,,0,,,,
10298001,2013.797024,,31.667,,64.168,,131,,130.0503,,,19.883,,,,4.9828,,,36.6247,,,,195,0.439,,,,0.044,,0,,,,
10298001,2013.797024,,31.667,,64.168,,133,,132.0344,,,19.8404,,,,4.9781,,,36.6222,,,,195.2,0.439,,,,0.042,,0,,,,
