site	cruiseid	year	month	day	date	yrday_gmt	lat	lon	LLI_narB[cells/mL]	temp	sal	depth[m]	sigma_0	standard_deviation[cells/mL]
BATS	214	2006	8	9	8/9/06	145238400	31.6667	-64.1667	nd	18.3436	36.60145	180	26.424	nd
BATS	214	2006	8	9	8/9/06	145238400	31.6667	-64.1667	nd	18.3141	36.602	200	26.433	nd
BATS	215	2006	9	6	9/6/06	147657600	31.6667	-64.1667	6.50E-01	27.5629	36.5573	1	23.709	nd
BATS	215	2006	9	6	9/6/06	147657600	31.6667	-64.1667	nd	27.436	36.5575	10	23.754	nd
BATS	215	2006	9	6	9/6/06	147657600	31.6667	-64.1667	6.50E-01	27.3672	36.5709	20	23.787	nd
BATS	215	2006	9	6	9/6/06	147657600	31.6667	-64.1667	6.50E-01	23.3623	36.6679	40	25.107	nd
BATS	215	2006	9	6	9/6/06	147657600	31.6667	-64.1667	nd	21.1599	36.6272	60	25.725	nd
BATS	215	2006	9	6	9/6/06	147657600	31.6667	-64.1667	5.16E+03	19.9437	36.6808	80	26.065	3.68E+02
BATS	215	2006	9	6	9/6/06	147657600	31.6667	-64.1667	2.10E+04	19.1186	36.6845	100	26.257	1.20E+03
BATS	215	2006	9	6	9/6/06	147657600	31.6667	-64.1667	2.59E+03	18.7849	36.647	120	26.325	6.74E+02
BATS	215	2006	9	6	9/6/06	147657600	31.6667	-64.1667	1.01E+02	18.5907	36.6105	140	26.366	3.55E+01
BATS	215	2006	9	6	9/6/06	147657600	31.6667	-64.1667	1.11E+03	18.4727	36.6031	160	26.391	1.68E+02
BATS	215	2006	9	6	9/6/06	147657600	31.6667	-64.1667	1.25E+01	18.42115	36.6052	180	26.4055	3.99E+00
BATS	215	2006	9	6	9/6/06	147657600	31.6667	-64.1667	6.50E-01	18.3696	36.6073	200	26.42	nd
BATS	216	2006	10	12	10/12/06	150768000	31.6667	-64.1667	6.50E-01	26.9651	36.3974	1	23.784	nd
BATS	216	2006	10	12	10/12/06	150768000	31.6667	-64.1667	nd	26.9485	36.395	10	23.789	nd
BATS	216	2006	10	12	10/12/06	150768000	31.6667	-64.1667	6.50E-01	26.941	36.3961	20	23.791	nd
BATS	216	2006	10	12	10/12/06	150768000	31.6667	-64.1667	6.09E+01	24.9623	36.7711	40	24.69	2.08E+01
BATS	216	2006	10	12	10/12/06	150768000	31.6667	-64.1667	1.77E+03	22.4664	36.8537	60	25.498	5.63E+02
BATS	216	2006	10	12	10/12/06	150768000	31.6667	-64.1667	1.53E+04	21.3618	36.8274	80	25.793	8.99E+02
BATS	216	2006	10	12	10/12/06	150768000	31.6667	-64.1667	4.40E+03	20.2803	36.745	100	26.026	5.29E+02
BATS	216	2006	10	12	10/12/06	150768000	31.6667	-64.1667	1.59E+03	19.7544	36.7087	120	26.14	2.91E+02
