"crn, julian, press, theta, sigma, temp, sal, oxy, xmiss, fluor, nit, "
"#, day, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, %, ug/l, umol/kg, "
"  1,   30,  104.0, 22.2046,  24.341, 22.2253, 35.2359,   202.8,   0.045,  0.7865,  -9.000,"
"  1,   30,  106.0, 22.1133,  24.366, 22.1344, 35.2351,   201.7,   0.035,  0.7779,  -9.000,"
"  1,   30,  108.0, 22.0144,  24.393, 22.0358, 35.2333,   200.8,   0.030,  0.7643,  -9.000,"
"  1,   30,  110.0, 21.9255,  24.416, 21.9472, 35.2312,   199.7,   0.030,  0.7367,  -9.000,"
"  1,   30,  112.0, 21.8525,  24.435, 21.8746, 35.2293,   198.0,   0.025,  0.7209,  -9.000,"
"  1,   30,  114.0, 21.7558,  24.462, 21.7782, 35.2300,   197.3,   0.025,  0.7067,  -9.000,"
"  1,   30,  116.0, 21.6547,  24.489, 21.6774, 35.2285,   196.6,   0.020,  0.6847,  -9.000,"
"  1,   30,  118.0, 21.5227,  24.523, 21.5457, 35.2253,   195.8,   0.020,  0.6732,  -9.000,"
"  1,   30,  120.0, 21.4643,  24.539, 21.4876, 35.2241,   189.7,   0.015,  0.6607,  -9.000,"
"  1,   30,  122.0, 21.2695,  24.583, 21.2931, 35.2119,   194.7,   0.015,  0.6241,  -9.000,"
"  1,   30,  124.0, 21.1532,  24.610, 21.1770, 35.2057,   192.4,   0.015,  0.5792,  -9.000,"
"  1,   30,  126.0, 21.0135,  24.642, 21.0376, 35.1980,   190.8,   0.015,  0.5433,  -9.000,"
"  1,   30,  128.0, 20.8470,  24.686, 20.8714, 35.1964,   189.1,   0.015,  0.4810,  -9.000,"
"  1,   30,  130.0, 20.8714,  24.677, 20.8962, 35.1923,   188.2,   0.010,  0.4741,  -9.000,"
"  1,   30,  132.0, 20.7181,  24.707, 20.7431, 35.1774,   188.1,   0.010,  0.4444,  -9.000,"
"  1,   30,  134.0, 20.5694,  24.741, 20.5947, 35.1692,   188.1,   0.010,  0.4244,  -9.000,"
"  1,   30,  136.0, 20.4520,  24.769, 20.4776, 35.1654,   187.6,   0.010,  0.3909,  -9.000,"
"  1,   30,  138.0, 20.3553,  24.791, 20.3811, 35.1596,   186.6,   0.010,  0.3614,  -9.000,"
"  1,   30,  140.0, 20.2541,  24.810, 20.2803, 35.1499,   185.8,   0.010,  0.3421,  -9.000,"
"  1,   30,  142.0, 20.1837,  24.821, 20.2101, 35.1398,   186.0,   0.010,  0.3192,  -9.000,"
"  1,   30,  144.0, 20.0672,  24.846, 20.0939, 35.1315,   184.2,   0.010,  0.2920,  -9.000,"
"  1,   30,  146.0, 19.9512,  24.869, 19.9781, 35.1217,   184.4,   0.010,  0.2760,  -9.000,"
"  1,   30,  148.0, 19.8545,  24.893, 19.8818, 35.1203,   184.5,   0.010,  0.2585,  -9.000,"
"  1,   30,  150.0, 19.7393,  24.914, 19.7668, 35.1077,   186.5,   0.010,  0.2521,  -9.000,"
"  1,   30,  152.0, 19.6055,  24.939, 19.6333, 35.0952,   185.2,   0.010,  0.2207,  -9.000,"
"  1,   30,  154.0, 19.4996,  24.962, 19.5276, 35.0889,   186.0,   0.010,  0.1955,  -9.000,"
"  1,   30,  156.0, 19.3705,  24.989, 19.3987, 35.0804,   185.8,   0.010,  0.1783,  -9.000,"
"  1,   30,  158.0, 19.2959,  25.002, 19.3244, 35.0721,   185.6,   0.010,  0.1674,  -9.000,"
"  1,   30,  160.0, 19.1963,  25.022, 19.2250, 35.0649,   185.6,   0.010,  0.1503,  -9.000,"
"  1,   30,  162.0, 19.0843,  25.044, 19.1133, 35.0570,   185.3,   0.010,  0.1371,  -9.000,"
"  1,   30,  164.0, 19.0014,  25.059, 19.0307, 35.0488,   184.4,   0.010,  0.1237,  -9.000,"
"  1,   30,  166.0, 18.8915,  25.078, 18.9210, 35.0367,   187.0,   0.010,  0.1082,  -9.000,"
"  1,   30,  168.0, 18.8014,  25.094, 18.8312, 35.0278,   188.1,   0.010,  0.0934,  -9.000,"
"  1,   30,  170.0, 18.6765,  25.114, 18.7065, 35.0133,   188.0,   0.010,  0.0805,  -9.000,"
