ID,crn,julian,press,theta,sigma,temp,sal,oxy,xmiss,fluor,nit
1,1,30,0,26.2693,23.127,26.2693,35.2335,224,NaN,0.0208,NaN
2,1,30,2,26.2691,23.121,26.2695,35.2252,226.2,12.805,0.0492,NaN
3,1,30,4,26.2728,23.107,26.2737,35.2079,224.8,8.26,0.0424,NaN
4,1,30,6,26.271,23.107,26.2724,35.2076,215.7,8.045,0.0508,NaN
5,1,30,8,26.2687,23.109,26.2705,35.2095,222.6,6.555,0.0482,NaN
6,1,30,10,26.2675,23.111,26.2697,35.2109,220,5.755,0.056,NaN
7,1,30,12,26.2652,23.11,26.2679,35.2094,218.2,5.35,0.0637,NaN
8,1,30,14,26.2613,23.111,26.2644,35.2093,217.2,4.415,0.0706,NaN
9,1,30,16,26.2573,23.113,26.2609,35.2092,216.5,3.08,0.069,NaN
10,1,30,18,26.2553,23.113,26.2593,35.2095,216.8,2.24,0.0699,NaN
11,1,30,20,26.2543,23.116,26.2588,35.2125,216.7,1.77,0.0738,NaN
12,1,30,22,26.2515,23.117,26.2565,35.2124,216.2,1.81,0.0807,NaN
13,1,30,24,26.2509,23.117,26.2563,35.2123,215.8,1.745,0.092,NaN
14,1,30,26,26.25,23.117,26.2558,35.2122,216.1,2.01,0.0883,NaN
15,1,30,28,26.2478,23.117,26.2541,35.2117,215.4,1.935,0.0858,NaN
16,1,30,30,26.2451,23.118,26.2519,35.2117,214.6,1.84,0.0921,NaN
17,1,30,32,26.2365,23.121,26.2436,35.2115,215.1,1.795,0.1038,NaN
18,1,30,34,26.2235,23.125,26.2311,35.2121,215.8,1.975,0.1107,NaN
19,1,30,36,26.2146,23.129,26.2227,35.2129,215.8,2.125,0.1362,NaN
20,1,30,38,26.2072,23.131,26.2157,35.2133,215.1,2.03,0.1431,NaN
21,1,30,40,26.1954,23.135,26.2044,35.2137,216.9,1.965,0.1486,NaN
22,1,30,42,26.1648,23.148,26.1742,35.2175,216.8,1.775,0.1556,NaN
23,1,30,44,26.1341,23.157,26.1439,35.2161,214.2,1.665,0.1593,NaN
24,1,30,46,26.016,23.192,26.0263,35.2139,215.5,1.66,0.1708,NaN
25,1,30,48,25.9644,23.21,25.9751,35.2173,215.8,1.485,0.185,NaN
26,1,30,50,25.825,23.255,25.8361,35.2189,216.6,1.41,0.2874,NaN
27,1,30,52,25.6374,23.314,25.6489,35.22,212.2,1.305,0.296,NaN
28,1,30,54,25.4432,23.368,25.4551,35.2127,213,1.19,0.2755,NaN
29,1,30,56,25.3792,23.387,25.3915,35.2111,217.7,1.05,0.2837,NaN
30,1,30,58,25.2369,23.43,25.2496,35.2111,219.6,0.95,0.3029,NaN
31,1,30,60,24.989,23.508,25.002,35.2143,219.4,0.84,0.3277,NaN
32,1,30,62,24.8821,23.543,24.8955,35.2166,219.5,0.71,0.3421,NaN
33,1,30,64,24.7046,23.595,24.7184,35.2154,219.9,0.55,0.3605,NaN
34,1,30,66,24.5321,23.647,24.5462,35.2155,219.6,0.51,0.3846,NaN
35,1,30,68,24.2996,23.719,24.3141,35.2176,219.4,0.455,0.4102,NaN
36,1,30,70,24.1362,23.77,24.151,35.2213,219.6,0.425,0.4351,NaN
37,1,30,72,23.9126,23.834,23.9278,35.218,218.9,0.38,0.4805,NaN
38,1,30,74,23.8208,23.861,23.8363,35.2183,217.7,0.31,0.4926,NaN
39,1,30,76,23.6645,23.909,23.6803,35.2202,216.6,0.25,0.5223,NaN
40,1,30,78,23.5487,23.943,23.5649,35.221,216,0.21,0.5483,NaN
41,1,30,80,23.3894,23.99,23.4059,35.2217,214.8,0.18,0.5997,NaN
42,1,30,82,23.3716,23.994,23.3886,35.2202,211.8,0.16,0.6078,NaN
43,1,30,84,23.1623,24.057,23.1795,35.2219,213.4,0.135,0.6436,NaN
44,1,30,86,23.078,24.082,23.0956,35.2231,211.6,0.12,0.6688,NaN
45,1,30,88,22.9996,24.107,23.0176,35.2266,210.6,0.105,0.686,NaN
46,1,30,90,22.9072,24.14,22.9255,35.235,209.9,0.09,0.695,NaN
47,1,30,92,22.809,24.166,22.8277,35.2321,209.7,0.08,0.7043,NaN
48,1,30,94,22.702,24.198,22.721,35.2331,208.7,0.07,0.7304,NaN
49,1,30,96,22.5914,24.234,22.6108,35.2393,207.8,0.06,0.7542,NaN
50,1,30,98,22.4858,24.263,22.5055,35.2375,207.2,0.055,0.7694,NaN
51,1,30,100,22.3825,24.292,22.4026,35.2376,206.6,0.05,0.788,NaN
52,1,30,102,22.2805,24.32,22.3009,35.237,204.1,0.045,0.7919,NaN
53,1,30,104,22.2046,24.341,22.2253,35.2359,202.8,0.045,0.7865,NaN
54,1,30,106,22.1133,24.366,22.1344,35.2351,201.7,0.035,0.7779,NaN
55,1,30,108,22.0144,24.393,22.0358,35.2333,200.8,0.03,0.7643,NaN
56,1,30,110,21.9255,24.416,21.9472,35.2312,199.7,0.03,0.7367,NaN
57,1,30,112,21.8525,24.435,21.8746,35.2293,198,0.025,0.7209,NaN
58,1,30,114,21.7558,24.462,21.7782,35.23,197.3,0.025,0.7067,NaN
59,1,30,116,21.6547,24.489,21.6774,35.2285,196.6,0.02,0.6847,NaN
60,1,30,118,21.5227,24.523,21.5457,35.2253,195.8,0.02,0.6732,NaN
61,1,30,120,21.4643,24.539,21.4876,35.2241,189.7,0.015,0.6607,NaN
62,1,30,122,21.2695,24.583,21.2931,35.2119,194.7,0.015,0.6241,NaN
63,1,30,124,21.1532,24.61,21.177,35.2057,192.4,0.015,0.5792,NaN
64,1,30,126,21.0135,24.642,21.0376,35.198,190.8,0.015,0.5433,NaN
65,1,30,128,20.847,24.686,20.8714,35.1964,189.1,0.015,0.481,NaN
66,1,30,130,20.8714,24.677,20.8962,35.1923,188.2,0.01,0.4741,NaN
67,1,30,132,20.7181,24.707,20.7431,35.1774,188.1,0.01,0.4444,NaN
68,1,30,134,20.5694,24.741,20.5947,35.1692,188.1,0.01,0.4244,NaN
69,1,30,136,20.452,24.769,20.4776,35.1654,187.6,0.01,0.3909,NaN
70,1,30,138,20.3553,24.791,20.3811,35.1596,186.6,0.01,0.3614,NaN
71,1,30,140,20.2541,24.81,20.2803,35.1499,185.8,0.01,0.3421,NaN
72,1,30,142,20.1837,24.821,20.2101,35.1398,186,0.01,0.3192,NaN
73,1,30,144,20.0672,24.846,20.0939,35.1315,184.2,0.01,0.292,NaN
74,1,30,146,19.9512,24.869,19.9781,35.1217,184.4,0.01,0.276,NaN
75,1,30,148,19.8545,24.893,19.8818,35.1203,184.5,0.01,0.2585,NaN
76,1,30,150,19.7393,24.914,19.7668,35.1077,186.5,0.01,0.2521,NaN
77,1,30,152,19.6055,24.939,19.6333,35.0952,185.2,0.01,0.2207,NaN
78,1,30,154,19.4996,24.962,19.5276,35.0889,186,0.01,0.1955,NaN
79,1,30,156,19.3705,24.989,19.3987,35.0804,185.8,0.01,0.1783,NaN
80,1,30,158,19.2959,25.002,19.3244,35.0721,185.6,0.01,0.1674,NaN
81,1,30,160,19.1963,25.022,19.225,35.0649,185.6,0.01,0.1503,NaN
82,1,30,162,19.0843,25.044,19.1133,35.057,185.3,0.01,0.1371,NaN
83,1,30,164,19.0014,25.059,19.0307,35.0488,184.4,0.01,0.1237,NaN
84,1,30,166,18.8915,25.078,18.921,35.0367,187,0.01,0.1082,NaN
85,1,30,168,18.8014,25.094,18.8312,35.0278,188.1,0.01,0.0934,NaN
86,1,30,170,18.6765,25.114,18.7065,35.0133,188,0.01,0.0805,NaN
87,1,30,172,18.5943,25.129,18.6246,35.005,187,0.01,0.0723,NaN
88,1,30,174,18.5176,25.147,18.5481,35.003,188.5,0.01,0.0665,NaN
89,1,30,176,18.3883,25.168,18.419,34.9879,188.6,0.01,0.0558,NaN
90,1,30,178,18.2302,25.19,18.2611,34.966,184.5,0.01,0.0456,NaN
91,1,30,180,18.1841,25.2,18.2152,34.9637,189.9,0.01,0.036,NaN
92,1,30,182,18.0612,25.22,18.0926,34.9509,190.6,0.01,0.0307,NaN
93,1,30,184,17.9875,25.233,18.0191,34.9431,190.7,0.01,0.0214,NaN
94,1,30,186,17.8691,25.251,17.9009,34.9292,190.1,0.01,0.0203,NaN
95,1,30,188,17.7758,25.267,17.8079,34.9207,190.9,0.01,0.0138,NaN
96,1,30,190,17.723,25.273,17.7553,34.9115,190.6,0.005,0.0106,NaN
97,1,30,192,17.5757,25.293,17.6082,34.8911,190.1,0.005,0.0102,NaN
98,1,30,194,17.4927,25.305,17.5254,34.8802,188.9,0.005,0.0068,NaN
99,1,30,196,17.464,25.311,17.497,34.8786,186.2,0,0.0039,NaN
100,1,30,198,17.298,25.334,17.3311,34.857,189.6,0,0.0025,NaN
101,1,30,200,17.1954,25.347,17.2287,34.8413,189.9,0,-0.0013,NaN
102,2,62,0,25.6554,23.127,25.6554,34.9802,213.6,NaN,NaN,NaN
103,2,62,2,25.704,23.116,25.7045,34.9855,213.8,12.32,0.0416,NaN
104,2,62,4,25.7004,23.117,25.7012,34.9856,208.8,11.67,0.0747,NaN
105,2,62,6,25.6886,23.12,25.69,34.9836,212.1,11.9,0.0765,NaN
106,2,62,8,25.6853,23.12,25.6871,34.9825,211.6,9.1,0.0732,NaN
107,2,62,10,25.681,23.123,25.6832,34.9849,211.9,8.08,0.0793,NaN
108,2,62,12,25.6795,23.123,25.6822,34.9846,214.7,7.43,0.0869,NaN
109,2,62,14,25.6729,23.124,25.676,34.9825,214.3,5.12,0.0872,NaN
110,2,62,16,25.6742,23.123,25.6777,34.9829,213.3,5.3,0.0831,NaN
111,2,62,18,25.6699,23.127,25.6739,34.9851,213.3,3.28,0.0869,NaN
112,2,62,20,25.6671,23.128,25.6715,34.9854,213,2.37,0.1075,NaN
113,2,62,22,25.6652,23.128,25.6701,34.9857,213.4,1.98,0.1011,NaN
114,2,62,24,25.6633,23.129,25.6686,34.9862,213.5,1.75,0.0947,NaN
115,2,62,26,25.6666,23.129,25.6723,34.9866,213,1.86,0.1081,NaN
116,2,62,28,25.6593,23.131,25.6654,34.9869,212.8,1.54,0.1151,NaN
117,2,62,30,25.6566,23.132,25.6632,34.9875,212.5,1.38,0.1135,NaN
118,2,62,32,25.6568,23.133,25.6639,34.9879,212,1.13,0.1287,NaN
119,2,62,34,25.6506,23.135,25.6581,34.9888,211.9,0.98,0.1206,NaN
120,2,62,36,25.6464,23.137,25.6544,34.9888,211,0.89,0.1145,NaN
121,2,62,38,25.639,23.138,25.6474,34.9882,210.5,0.88,0.1266,NaN
122,2,62,40,25.6324,23.142,25.6412,34.9897,210.2,1.02,0.1309,NaN
123,2,62,42,25.628,23.143,25.6373,34.9895,210.4,0.89,0.1449,NaN
124,2,62,44,25.6246,23.145,25.6344,34.9908,209.8,0.7,0.1534,NaN
125,2,62,46,25.621,23.146,25.6312,34.9913,209.3,0.61,0.1738,NaN
126,2,62,48,25.6165,23.148,25.6271,34.9915,208.9,0.61,0.1712,NaN
127,2,62,50,25.6125,23.15,25.6235,34.9926,208.4,0.57,0.1841,NaN
128,2,62,52,25.6094,23.152,25.6209,34.994,208.2,0.58,0.2015,NaN
129,2,62,54,25.6021,23.155,25.614,34.9948,208.1,0.56,0.2126,NaN
130,2,62,56,25.5919,23.158,25.6043,34.9945,208.2,0.6,0.2307,NaN
131,2,62,58,25.5782,23.164,25.591,34.9979,208.2,0.7,0.2559,NaN
132,2,62,60,25.5536,23.173,25.5668,34.9994,207.5,0.87,0.278,NaN
133,2,62,62,25.5175,23.185,25.5311,35.0001,207.3,0.37,0.3064,NaN
134,2,62,64,25.4747,23.199,25.4887,35.0009,207.7,0.26,0.3423,NaN
135,2,62,66,25.3975,23.224,25.412,35.0037,207.9,0.21,0.3632,NaN
136,2,62,68,25.3323,23.245,25.3472,35.0047,208,0.18,0.3908,NaN
137,2,62,70,25.2488,23.269,25.2641,35.0028,209.3,0.17,0.4372,NaN
138,2,62,72,25.1496,23.301,25.1653,35.0052,209.8,0.2,0.4456,NaN
139,2,62,74,25.0569,23.33,25.073,35.0052,209.9,0.35,0.4786,NaN
140,2,62,76,24.9239,23.373,24.9404,35.0089,208.4,0.39,0.5337,NaN
141,2,62,78,24.7518,23.425,24.7686,35.0088,209.6,0.36,0.5695,NaN
142,2,62,80,24.6552,23.456,24.6724,35.0114,209.4,0.34,0.6534,NaN
143,2,62,82,24.5435,23.493,24.5611,35.0158,209.2,0.3,0.7267,NaN
144,2,62,84,24.3923,23.543,24.4102,35.0225,207.3,0.26,0.7774,NaN
145,2,62,86,24.2502,23.59,24.2684,35.0276,207.8,0.23,0.844,NaN
146,2,62,88,24.1683,23.617,24.1869,35.0313,207.3,0.2,0.8872,NaN
147,2,62,90,24.0507,23.659,24.0696,35.0406,205.2,0.18,0.9967,NaN
148,2,62,92,23.9976,23.68,24.0169,35.0481,205.9,0.16,1.0175,NaN
149,2,62,94,23.8649,23.727,23.8846,35.0582,205.2,0.14,1.0547,NaN
150,2,62,96,23.7717,23.76,23.7918,35.0652,205.2,0.13,1.0822,NaN
151,2,62,98,23.7188,23.779,23.7393,35.0702,204,0.11,1.0184,NaN
152,2,62,100,23.592,23.823,23.6128,35.0793,203.5,0.09,0.9743,NaN
153,2,62,102,23.4656,23.866,23.4868,35.0868,202.5,0.08,0.9255,NaN
154,2,62,104,23.3685,23.899,23.39,35.0927,202.4,0.05,0.8427,NaN
155,2,62,106,23.2087,23.947,23.2305,35.0947,201.8,0.04,0.7529,NaN
156,2,62,108,23.1061,23.978,23.1282,35.0971,201.9,0.03,0.6963,NaN
157,2,62,110,23.0044,24.012,23.0269,35.1033,200.2,0.03,0.6427,NaN
158,2,62,112,22.903,24.046,22.9258,35.1086,201.1,0.04,0.5947,NaN
159,2,62,114,22.7683,24.089,22.7914,35.1149,200.8,0.04,0.5383,NaN
160,2,62,116,22.6899,24.115,22.7134,35.1197,200.4,0.04,0.4968,NaN
161,2,62,118,22.6007,24.144,22.6245,35.1238,199.4,0.04,0.4616,NaN
162,2,62,120,22.5355,24.165,22.5597,35.1279,199.3,0.04,0.4426,NaN
163,2,62,122,22.4615,24.189,22.486,35.1318,198.5,0.03,0.4343,NaN
164,2,62,124,22.4136,24.206,22.4385,35.1354,197.9,0.03,0.4163,NaN
165,2,62,126,22.3112,24.239,22.3364,35.1412,197.4,0.03,0.3911,NaN
166,2,62,128,22.2138,24.27,22.2393,35.1456,196.7,0.03,0.3641,NaN
167,2,62,130,22.1194,24.298,22.1452,35.1482,196.6,0.02,0.3349,NaN
168,2,62,132,22.0193,24.328,22.0455,35.1496,196.1,0.02,0.3223,NaN
169,2,62,134,21.9116,24.359,21.9381,35.1517,195.1,0.02,0.3125,NaN
170,2,62,136,21.8139,24.387,21.8407,35.1523,194.7,0.01,0.2941,NaN
171,2,62,138,21.7349,24.408,21.762,35.1513,193.5,0.01,0.2839,NaN
172,2,62,140,21.6229,24.439,21.6503,35.1511,193,0.01,0.2548,NaN
173,2,62,142,21.4801,24.477,21.5078,35.1495,191.9,0.01,0.2353,NaN
174,2,62,144,21.3839,24.504,21.4118,35.1499,191.6,0.01,0.2063,NaN
175,2,62,146,21.297,24.53,21.3253,35.1527,191.1,0.01,0.1895,NaN
176,2,62,148,21.1957,24.554,21.2242,35.1473,190.4,0.01,0.1722,NaN
177,2,62,150,21.1079,24.581,21.1367,35.1515,190.2,0.01,0.1487,NaN
178,2,62,152,21.0072,24.607,21.0363,35.1497,188.5,0.01,0.1373,NaN
179,2,62,154,20.9285,24.628,20.958,35.1492,189.4,0.01,0.1342,NaN
180,2,62,156,20.8356,24.652,20.8653,35.1478,189.2,0.01,0.1241,NaN
181,2,62,158,20.7229,24.684,20.7529,35.1488,189.1,0.01,0.1121,NaN
182,2,62,160,20.6473,24.702,20.6776,35.1458,189,0.01,0.1018,NaN
183,2,62,162,20.5466,24.729,20.5772,35.1454,189,0.01,0.0879,NaN
184,2,62,164,20.4878,24.745,20.5187,35.1463,188.6,0.01,0.0879,NaN
185,2,62,166,20.3454,24.781,20.3765,35.1432,188.5,0.01,0.0841,NaN
186,2,62,168,20.2494,24.805,20.2808,35.1417,188.6,0.01,0.0777,NaN
187,2,62,170,20.1412,24.828,20.1728,35.1343,188.7,0.01,0.0754,NaN
188,2,62,172,20.0602,24.848,20.0921,35.1328,187.7,0.01,0.0703,NaN
189,2,62,174,19.9189,24.88,19.951,35.1253,188.8,0.01,0.0563,NaN
190,2,62,176,19.8316,24.9,19.864,35.1212,188.7,0.01,0.0483,NaN
191,2,62,178,19.7625,24.915,19.7952,35.1179,187.6,0.01,0.0509,NaN
192,2,62,180,19.6451,24.94,19.6781,35.1106,188.4,0.01,0.0518,NaN
193,2,62,182,19.5316,24.964,19.5648,35.1025,187.9,0.01,0.0475,NaN
194,2,62,184,19.3846,24.991,19.418,35.0882,188.4,0.01,0.0443,NaN
195,2,62,186,19.2858,25.01,19.3194,35.0802,187.9,0.01,0.0398,NaN
196,2,62,188,19.1816,25.029,19.2154,35.07,187.8,0.01,0.0341,NaN
197,2,62,190,19.0821,25.047,19.1162,35.0594,188,0.01,0.0285,NaN
198,2,62,192,18.9663,25.067,19.0005,35.0473,188,0.01,0.0264,NaN
199,2,62,194,18.8434,25.09,18.8779,35.036,187.9,0.01,0.0264,NaN
200,2,62,196,18.7608,25.104,18.7955,35.0269,187.3,0.01,0.0222,NaN
201,2,62,198,18.6486,25.123,18.6835,35.0145,187.7,0.01,0.0278,NaN
202,2,62,200,18.5169,25.148,18.5519,35.0042,188.1,0.01,0.0252,NaN
203,3,99,0,24.5943,23.488,24.5943,35.029,NaN,NaN,0.3391,NaN
204,3,99,2,24.6223,23.485,24.6227,35.0361,218.6,NaN,0.7436,NaN
205,3,99,4,24.616,23.482,24.6169,35.0298,222.7,NaN,0.2859,NaN
206,3,99,6,24.6174,23.484,24.6187,35.0328,224.6,NaN,0.2388,NaN
207,3,99,8,24.6161,23.482,24.6178,35.0307,220.1,NaN,0.2315,NaN
208,3,99,10,24.616,23.483,24.6181,35.0315,220.8,NaN,0.2356,NaN
209,3,99,12,24.6159,23.483,24.6185,35.0316,221.2,NaN,0.2337,NaN
210,3,99,14,24.6169,23.483,24.6199,35.0315,224.8,NaN,0.231,NaN
211,3,99,16,24.6178,23.481,24.6213,35.0299,220.8,NaN,0.2271,NaN
212,3,99,18,24.619,23.481,24.6228,35.0298,223.5,NaN,0.2192,NaN
213,3,99,20,24.6195,23.482,24.6238,35.0311,223.8,NaN,0.2378,NaN
214,3,99,22,24.6196,23.482,24.6244,35.031,223.4,NaN,0.2459,NaN
215,3,99,24,24.6188,23.482,24.624,35.0313,223.5,NaN,0.2516,NaN
216,3,99,26,24.619,23.482,24.6246,35.0313,223.5,NaN,0.2523,NaN
217,3,99,28,24.6186,23.482,24.6246,35.0314,220.3,NaN,0.2511,NaN
218,3,99,30,24.6186,23.482,24.625,35.0316,223.3,NaN,0.2637,NaN
219,3,99,32,24.6187,23.482,24.6256,35.0315,222.7,NaN,0.2699,NaN
220,3,99,34,24.623,23.481,24.6303,35.0314,222,NaN,0.2602,NaN
221,3,99,36,24.6191,23.482,24.6268,35.0316,225.5,NaN,0.2678,NaN
222,3,99,38,24.6193,23.482,24.6275,35.032,224.6,NaN,0.2675,NaN
223,3,99,40,24.6193,23.482,24.6279,35.0318,224.2,NaN,0.2675,NaN
224,3,99,42,24.6155,23.483,24.6245,35.0316,224.2,NaN,0.2748,NaN
225,3,99,44,24.6196,23.482,24.629,35.0316,224.8,NaN,0.2776,NaN
226,3,99,46,24.6189,23.482,24.6288,35.0315,224.6,NaN,0.2794,NaN
227,3,99,48,24.615,23.483,24.6253,35.0318,223.7,NaN,0.2887,NaN
228,3,99,50,24.619,23.482,24.6298,35.0319,224.1,NaN,0.2807,NaN
229,3,99,52,24.6189,23.483,24.6301,35.032,223.8,NaN,0.2813,NaN
230,3,99,54,24.6189,23.483,24.6304,35.0321,223.6,NaN,0.2847,NaN
231,3,99,56,24.6201,23.482,24.6321,35.0316,222.4,NaN,0.2921,NaN
232,3,99,58,24.6189,23.483,24.6313,35.0321,222.8,NaN,0.2862,NaN
233,3,99,60,24.6189,23.483,24.6317,35.0327,222.8,NaN,0.3023,NaN
234,3,99,62,24.6198,23.482,24.6331,35.0319,222.9,NaN,0.2956,NaN
235,3,99,64,24.6188,23.483,24.6325,35.0322,222.3,NaN,0.3356,NaN
236,3,99,66,24.6186,23.483,24.6328,35.0321,222,NaN,0.3475,NaN
237,3,99,68,24.6152,23.484,24.6298,35.0319,221,NaN,0.3405,NaN
238,3,99,70,24.6187,23.483,24.6338,35.0325,221.1,NaN,0.3123,NaN
239,3,99,72,24.6116,23.485,24.627,35.0323,223,NaN,0.3103,NaN
240,3,99,74,24.6184,23.483,24.6342,35.0322,221,NaN,0.3122,NaN
241,3,99,76,24.6103,23.485,24.6266,35.0314,220.2,NaN,0.3014,NaN
242,3,99,78,24.6184,23.483,24.6351,35.0324,221,NaN,0.32,NaN
243,3,99,80,24.6178,23.483,24.635,35.032,220.7,NaN,0.3179,NaN
244,3,99,82,24.6172,23.483,24.6348,35.0322,220.5,NaN,0.3111,NaN
245,3,99,84,24.6182,23.483,24.6362,35.032,220.2,NaN,0.3108,NaN
246,3,99,86,24.6161,23.484,24.6345,35.0325,220,NaN,0.3109,NaN
247,3,99,88,24.6157,23.484,24.6345,35.0325,219.8,NaN,0.3169,NaN
248,3,99,90,24.6157,23.484,24.6351,35.0325,219.9,NaN,0.3131,NaN
249,3,99,92,24.6159,23.484,24.6356,35.0326,220,NaN,0.3116,NaN
250,3,99,94,24.6194,23.483,24.6396,35.0326,219.4,NaN,0.3111,NaN
251,3,99,96,24.6102,23.486,24.6308,35.033,219.3,NaN,0.3153,NaN
252,3,99,98,24.6012,23.489,24.6222,35.0333,219,NaN,0.3128,NaN
253,3,99,100,24.5996,23.489,24.6211,35.0334,218.7,NaN,0.3123,NaN
254,3,99,102,24.5767,23.497,24.5985,35.0337,217.9,NaN,0.3116,NaN
255,3,99,104,24.5663,23.501,24.5886,35.0358,218.3,NaN,0.3159,NaN
256,3,99,106,24.5289,23.514,24.5516,35.0378,218.3,NaN,0.333,NaN
257,3,99,108,24.4765,23.537,24.4995,35.0471,217.4,NaN,0.3322,NaN
258,3,99,110,24.3676,23.567,24.391,35.0442,217.7,NaN,0.3337,NaN
259,3,99,112,24.2789,23.596,24.3027,35.0467,217.7,NaN,0.3544,NaN
260,3,99,114,24.1831,23.627,24.2073,35.0506,217.5,NaN,0.3842,NaN
261,3,99,116,24.0058,23.685,24.0302,35.0577,216.8,NaN,0.4103,NaN
262,3,99,118,23.8327,23.742,23.8575,35.0656,216,NaN,0.4799,NaN
263,3,99,120,23.6139,23.814,23.6389,35.0759,215.2,NaN,0.54,NaN
264,3,99,122,23.4823,23.857,23.5076,35.0812,214.2,NaN,0.5372,NaN
265,3,99,124,23.3599,23.894,23.3855,35.0828,213,NaN,0.5277,NaN
266,3,99,126,23.3374,23.904,23.3634,35.0882,213.2,NaN,0.5032,NaN
267,3,99,128,23.2269,23.938,23.2533,35.0905,211.6,NaN,0.4914,NaN
268,3,99,130,23.1395,23.969,23.1662,35.098,211.1,NaN,0.4845,NaN
269,3,99,132,22.9698,24.024,22.9968,35.1052,210.4,NaN,0.5071,NaN
270,3,99,134,22.8556,24.061,22.8829,35.1112,209.5,NaN,0.4891,NaN
271,3,99,136,22.7523,24.095,22.7798,35.1162,210.2,NaN,0.4345,NaN
272,3,99,138,22.6055,24.14,22.6334,35.1206,207.6,NaN,0.4292,NaN
273,3,99,140,22.4534,24.188,22.4815,35.1265,207.2,NaN,0.4061,NaN
274,3,99,142,22.3344,24.226,22.3628,35.1321,206.7,NaN,0.4086,NaN
275,3,99,144,22.2309,24.257,22.2597,35.1356,206.4,NaN,0.3828,NaN
276,3,99,146,22.2346,24.255,22.2638,35.1336,205,NaN,0.35,NaN
277,3,99,148,22.1206,24.291,22.1501,35.1386,204,NaN,0.3231,NaN
278,3,99,150,21.9418,24.345,21.9714,35.1442,203.3,NaN,0.287,NaN
279,3,99,152,21.8446,24.371,21.8746,35.1429,202.7,NaN,0.257,NaN
280,3,99,154,21.7549,24.396,21.7852,35.1432,201.1,NaN,0.2251,NaN
281,3,99,156,21.6711,24.419,21.7016,35.1416,200.1,NaN,0.2145,NaN
282,3,99,158,21.5766,24.444,21.6074,35.1403,200.2,NaN,0.1887,NaN
283,3,99,160,21.4727,24.471,21.5038,35.1388,197.5,NaN,0.1739,NaN
284,3,99,162,21.4066,24.492,21.4381,35.1414,198.2,NaN,0.1639,NaN
285,3,99,164,21.3019,24.519,21.3336,35.1397,196.7,NaN,0.1444,NaN
286,3,99,166,21.2051,24.544,21.2371,35.1371,195.4,NaN,0.1304,NaN
287,3,99,168,21.1594,24.554,21.1918,35.1345,195.2,NaN,0.1142,NaN
288,3,99,170,21.006,24.592,21.0386,35.1295,193.8,NaN,0.1107,NaN
289,3,99,172,20.8501,24.63,20.8829,35.1239,192.9,NaN,0.0941,NaN
290,3,99,174,20.7732,24.648,20.8063,35.1201,192.5,NaN,0.0766,NaN
291,3,99,176,20.7445,24.654,20.778,35.1179,190.7,NaN,0.0647,NaN
292,3,99,178,20.6917,24.669,20.7255,35.1181,190.2,NaN,0.0579,NaN
293,3,99,180,20.5374,24.703,20.5714,35.1086,189.4,NaN,0.0525,NaN
294,3,99,182,20.4271,24.729,20.4613,35.1038,188.8,NaN,0.0456,NaN
295,3,99,184,20.3426,24.749,20.3771,35.1005,188.6,NaN,0.045,NaN
296,3,99,186,20.2226,24.775,20.2574,35.0935,187.8,NaN,0.0385,NaN
297,3,99,188,20.2018,24.78,20.2369,35.0918,186.3,NaN,0.0312,NaN
298,3,99,190,20.0461,24.814,20.0814,35.0835,186.4,NaN,0.0328,NaN
299,3,99,192,19.949,24.837,19.9845,35.079,185.6,NaN,0.0259,NaN
300,3,99,194,19.8073,24.868,19.843,35.0712,185.4,NaN,0.027,NaN
301,3,99,196,19.7257,24.887,19.7617,35.0679,184.7,NaN,0.0205,NaN
302,3,99,198,19.6088,24.912,19.6449,35.0608,184.6,NaN,0.0185,NaN
303,3,99,200,19.4737,24.939,19.51,35.0504,184.3,NaN,0.0146,NaN
304,4,148,0,23.5319,23.671,23.5319,34.8545,223.1,NaN,NaN,NaN
305,4,148,2,23.525,23.655,23.5255,34.8314,224.8,0.98,0.1492,NaN
306,4,148,4,23.5282,23.656,23.529,34.8341,226.2,0.74,0.146,NaN
307,4,148,6,23.5317,23.655,23.533,34.8342,227.7,0.6,0.1414,NaN
308,4,148,8,23.5319,23.655,23.5336,34.8343,226.6,0.48,0.1409,NaN
309,4,148,10,23.5332,23.657,23.5353,34.8368,226.7,0.42,0.1414,NaN
310,4,148,12,23.5346,23.657,23.5371,34.8374,226.6,0.36,0.1397,NaN
311,4,148,14,23.5364,23.656,23.5393,34.8372,226.6,0.4,0.1416,NaN
312,4,148,16,23.5377,23.656,23.541,34.8375,226.7,0.44,0.1471,NaN
313,4,148,18,23.5381,23.653,23.5418,34.8342,226.5,0.51,0.1414,NaN
314,4,148,20,23.5377,23.654,23.5419,34.8345,226.4,0.57,0.1414,NaN
315,4,148,22,23.5384,23.654,23.5429,34.835,226.8,0.6,0.1441,NaN
316,4,148,24,23.5404,23.654,23.5454,34.8361,227.9,0.61,0.142,NaN
317,4,148,26,23.5446,23.655,23.55,34.8384,225.4,0.63,0.1532,NaN
318,4,148,28,23.5501,23.657,23.5559,34.8443,224.2,0.61,0.1617,NaN
319,4,148,30,23.5555,23.663,23.5617,34.8533,225.2,0.59,0.1448,NaN
320,4,148,32,23.5605,23.673,23.5672,34.8687,224.8,0.58,0.1417,NaN
321,4,148,34,23.5614,23.679,23.5685,34.8767,224.9,0.55,0.153,NaN
