site,cruiseid,year,month,day,date,yrday_gmt,lat,lon,HLII_narB[cells/mL],staNaNard_deviation[cells/mL],LLI_narB[cells/mL],staNaNard_deviation[cells/mL],temp,sal,depth[m],sigma_0
HOT,195,2007,9,4,9/4/07,179020800,22.75,-158,71500,9730,NaN,NaN,25.4212,NaN,60,NaN
HOT,195,2007,9,4,9/4/07,179020800,22.75,-158,42000,8190,119,35.2,24.1313,35.1841,75,23.755
HOT,195,2007,9,4,9/4/07,179020800,22.75,-158,46700,4330,4440,790,23.7607,NaN,85,NaN
HOT,195,2007,9,4,9/4/07,179020800,22.75,-158,1520,237,13500,2120,22.7484,35.185,100,24.146
HOT,195,2007,9,4,9/4/07,179020800,22.75,-158,38.7,14.7,1960,794,22.3904,NaN,115,NaN
HOT,195,2007,9,4,9/4/07,179020800,22.75,-158,NaN,NaN,597,87.9,21.4979,35.1501,125,24.474
HOT,195,2007,9,4,9/4/07,179020800,22.75,-158,17.5,1.26,788,238,20.5593,35.0827,150,24.691
HOT,195,2007,9,4,9/4/07,179020800,22.75,-158,14.1,5.13,164,60.6,19.3686,34.977,175,24.923
HOT,195,2007,9,4,9/4/07,179020800,22.75,-158,0.65,NaN,111,22.3,17.7621,NaN,200,NaN
HOT,196,2007,10,4,10/4/07,181612800,22.75,-158,42200,1530,0.65,NaN,26.0884,35.0838,5,23.069
HOT,196,2007,10,4,10/4/07,181612800,22.75,-158,39400,2260,0.65,NaN,26.0926,35.0836,25,23.068
HOT,196,2007,10,4,10/4/07,181612800,22.75,-158,39000,5320,NaN,NaN,26.0917,35.0831,45,23.069
HOT,196,2007,10,4,10/4/07,181612800,22.75,-158,38500,1060,0.65,NaN,26.0888,NaN,60,NaN
HOT,196,2007,10,4,10/4/07,181612800,22.75,-158,39100,7140,13.5,5.75,25.9115,35.1101,75,23.144
HOT,196,2007,10,4,10/4/07,181612800,22.75,-158,37500,4670,190,34.4,25.1125,NaN,85,NaN
HOT,196,2007,10,4,10/4/07,181612800,22.75,-158,20900,1420,2460,255,23.9761,35.1189,100,23.741
HOT,196,2007,10,4,10/4/07,181612800,22.75,-158,5980,875,4490,758,23.0877,NaN,115,NaN
HOT,196,2007,10,4,10/4/07,181612800,22.75,-158,3110,668,6000,1010,22.6592,35.1793,125,24.173
HOT,196,2007,10,4,10/4/07,181612800,22.75,-158,124,9.61,2240,360,21.4863,35.1706,150,24.496
HOT,196,2007,10,4,10/4/07,181612800,22.75,-158,13.3,5.12,735,188,20.1409,35.0727,175,24.787
HOT,196,2007,10,4,10/4/07,181612800,22.75,-158,0.65,NaN,95.3,24.1,18.54,NaN,200,NaN
HOT,197,2007,12,3,12/3/07,186796800,22.75,-158,24800,3720,54.6,22.8,25.0918,35.0199,5,23.333
HOT,197,2007,12,3,12/3/07,186796800,22.75,-158,29200,7570,45.5,17.7,25.0832,35.0528,25,23.355
HOT,197,2007,12,3,12/3/07,186796800,22.75,-158,28600,5910,0.65,NaN,25.0678,35.0729,45,23.382
HOT,197,2007,12,3,12/3/07,186796800,22.75,-158,31000,9000,23.5,7.33,25.0626,NaN,60,NaN
HOT,197,2007,12,3,12/3/07,186796800,22.75,-158,28100,7750,198,60.6,24.8443,35.0997,75,23.459
HOT,197,2007,12,3,12/3/07,186796800,22.75,-158,22600,5470,781,142,23.7914,NaN,85,NaN
HOT,197,2007,12,3,12/3/07,186796800,22.75,-158,2370,421,6750,586,22.6582,35.0268,100,24.07
HOT,197,2007,12,3,12/3/07,186796800,22.75,-158,103,42.9,4700,1690,21.9432,NaN,115,NaN
HOT,197,2007,12,3,12/3/07,186796800,22.75,-158,45.9,17.3,2540,784,21.091,35.0008,125,24.477
HOT,197,2007,12,3,12/3/07,186796800,22.75,-158,0.65,NaN,189,18.1,20.0054,34.9918,150,24.766
HOT,197,2007,12,3,12/3/07,186796800,22.75,-158,14.4,3.19,10.9,2.51,18.8159,34.8489,175,24.966
HOT,197,2007,12,3,12/3/07,186796800,22.75,-158,8.08,3.7,0.65,NaN,16.8493,NaN,200,NaN
HOT,198,2007,12,22,12/22/07,188438400,22.75,-158,30400,1470,436,83.5,24.5027,35.0132,5,23.506
HOT,198,2007,12,22,12/22/07,188438400,22.75,-158,34100,2320,437,69.3,24.5005,35.0137,25,23.523
HOT,198,2007,12,22,12/22/07,188438400,22.75,-158,29700,1880,509,29.5,24.4987,35.0228,45,23.518
HOT,198,2007,12,22,12/22/07,188438400,22.75,-158,36400,3480,889,102,24.4672,NaN,60,NaN
HOT,198,2007,12,22,12/22/07,188438400,22.75,-158,29700,1270,1240,201,24.4731,35.0396,75,23.534
HOT,198,2007,12,22,12/22/07,188438400,22.75,-158,23500,2880,1890,398,24.4442,NaN,85,NaN
HOT,198,2007,12,22,12/22/07,188438400,22.75,-158,17600,2370,1800,273,24.3287,35.0687,100,23.601
HOT,198,2007,12,22,12/22/07,188438400,22.75,-158,8960,2440,4180,1140,23.6244,NaN,115,NaN
HOT,198,2007,12,22,12/22/07,188438400,22.75,-158,3620,219,4850,232,22.8926,35.1005,125,24.051
HOT,198,2007,12,22,12/22/07,188438400,22.75,-158,196,10.7,795,139,21.632,35.1198,150,24.416
HOT,198,2007,12,22,12/22/07,188438400,22.75,-158,NaN,NaN,257,19.1,20.6273,35.0962,175,24.674
HOT,198,2007,12,22,12/22/07,188438400,22.75,-158,0.65,NaN,19.8,5.27,19.5382,NaN,200,NaN
HOT,199,2008,1,31,1/31/08,191894400,22.75,-158,18300,6690,524,185,NaN,NaN,5,NaN
HOT,199,2008,1,31,1/31/08,191894400,22.75,-158,15200,4710,428,129,NaN,NaN,25,NaN
HOT,199,2008,1,31,1/31/08,191894400,22.75,-158,21300,861,555,84.9,NaN,NaN,45,NaN
HOT,199,2008,1,31,1/31/08,191894400,22.75,-158,20000,4790,509,192,NaN,NaN,60,NaN
HOT,199,2008,1,31,1/31/08,191894400,22.75,-158,26400,4540,716,119,NaN,NaN,75,NaN
HOT,199,2008,1,31,1/31/08,191894400,22.75,-158,18300,6480,458,109,NaN,NaN,85,NaN
HOT,199,2008,1,31,1/31/08,191894400,22.75,-158,24400,3510,792,138,NaN,NaN,100,NaN
HOT,199,2008,1,31,1/31/08,191894400,22.75,-158,24100,6950,669,224,NaN,NaN,115,NaN
HOT,199,2008,1,31,1/31/08,191894400,22.75,-158,12300,2580,2450,673,NaN,NaN,125,NaN
HOT,199,2008,1,31,1/31/08,191894400,22.75,-158,0.65,NaN,825,94.8,NaN,NaN,150,NaN
HOT,199,2008,1,31,1/31/08,191894400,22.75,-158,0.65,NaN,63.1,7.35,NaN,NaN,175,NaN
HOT,199,2008,1,31,1/31/08,191894400,22.75,-158,0.65,NaN,0.65,NaN,NaN,NaN,200,NaN
