ID,year,latitude,longitude,depth,pressure,temp,conduct,salinity,oxygen,beamatt,fluor,smth
30017001,1990.159873,31.808,64.15,233,231.25,18.595,4.8446,36.562,-9.99,0.381,0.018,0.24
30017001,1990.159873,31.808,64.15,235,233.2339,18.585,4.8434,36.56,-9.99,0.381,0.013,0.24
30017001,1990.159873,31.808,64.15,237,235.2177,18.574,4.8422,36.559,-9.99,0.381,0.012,0.24
30017001,1990.159873,31.808,64.15,239,237.2015,18.566,4.8412,36.557,-9.99,0.381,0.012,0.23
30017001,1990.159873,31.808,64.15,241,239.1853,18.566,4.8413,36.557,-9.99,0.381,0.012,0.23
30017001,1990.159873,31.808,64.15,243,241.1691,18.56,4.8407,36.556,-9.99,0.381,0.009,0.23
30017001,1990.159873,31.808,64.15,245,243.1528,18.549,4.8395,36.555,-9.99,0.381,0.01,0.23
30017001,1990.159873,31.808,64.15,247,245.1366,18.53,4.8375,36.554,-9.99,0.381,0.009,0.23
30017001,1990.159873,31.808,64.15,249,247.1203,18.515,4.8358,36.552,-9.99,0.381,0.007,0.23
30017001,1990.159873,31.808,64.15,251,249.104,18.507,4.8349,36.551,-9.99,0.381,0.007,0.23
30017001,1990.159873,31.808,64.15,253,251.0877,18.5,4.834,36.549,-9.99,0.381,0.008,0.23
30017001,1990.159873,31.808,64.15,255,253.0713,18.482,4.832,36.547,-9.99,0.381,0.008,0.23
